row_id,model,question,gold_answer,model_response
117,openai:gpt-4o-mini,De quel confession est l'ordre d'Orange ?,protestante,Protestante.
118,openai:gpt-4o-mini,De quel confession est l'ordre d'Orange ?,protestante,Protestant.
119,openai:gpt-4o-mini,Où a été crée l'ordre d'orange ?,à Loughgall,En Hollande.
120,openai:gpt-4o-mini,Où a été crée l'ordre d'orange ?,Loughgall (en) (Irlande),En France.
121,openai:gpt-4o-mini,Quels sont les diverses sujets dont s'empare l'ordre d'orange ?,"religieuse, politique, culturelle et sociale","Politique, religion, culture."
122,openai:gpt-4o-mini,Quels sont les diverses sujets dont s'empare l'ordre d'orange ?,"religieuse, politique, culturelle et sociale","Assistance sociale, éducation, santé, culture."
123,openai:gpt-4o-mini,Quand s'est déroulée la bataille de la Boyne ?,le 12 juillet 1690,1er juillet 1690.
124,openai:gpt-4o-mini,Quelle est l'ambition du palais de Tsaritsyno ?,devenir un grand musée d'art international,Exalter le goût artistique du XVIIIe siècle.
125,openai:gpt-4o-mini,Qui a créé le musée des beaux-arts Pouchkine ?,le père de la poétesse Marina Tsvetaeva,Ivan Tsvetaev.
126,openai:gpt-4o-mini,Qui a créé le musée des beaux-arts Pouchkine ?,le père de la poétesse Marina Tsvetaeva,Ivan Tsvetaev.
127,openai:gpt-4o-mini,Quelles oeuvres issues de l'art occidental sont présentes au musée Pouchkine ?,Claude Monet ou Paul Cézanne que celles de Pablo Picasso,"Des œuvres de Van Gogh, Monet, et Picasso."
128,openai:gpt-4o-mini,Quelles oeuvres issues de l'art occidental sont présentes au musée Pouchkine ?,peintures,"Des œuvres de Monet, Van Gogh, et Matisse."
129,openai:gpt-4o-mini,A quel musée anglais compare-t-on le musée Pouchkine ?,British Museum de Londres,Le British Museum.
130,openai:gpt-4o-mini,A quel musée anglais compare-t-on le musée Pouchkine ?,British Museum de Londres,British Museum.
131,openai:gpt-4o-mini,Pourquoi dit-on que le musée Pouchkine ressemble au British Museum ?,ses salles sont un croisement des civilisations du monde,Pour leur collection d'art mondial.
132,openai:gpt-4o-mini,Quelle politique architecturale est mise en place aujourd'hui à Moscou ?,rénovation de l'architecture pré-communiste,Rénovation urbaine.
133,openai:gpt-4o-mini,Pour quelle raison a été décidée la réhabilation de l'architecture pré-communiste ?,afin de redonner tout son éclat au centre historique de la ville,Pour valoriser le patrimoine historique.
134,openai:gpt-4o-mini,Par quels types d'architecture se caractérisent les quartiers de l'ancien Arbat et la rue Tverskaïa ?,impériale ou bourgeoise,Architecture néoclassique et constructiviste.
135,openai:gpt-4o-mini,Quels bâtiments ont été relativement bien préservés par l'époque communiste ?,églises orthodoxes,Les bâtiments historiques.
136,openai:gpt-4o-mini,Quels bâtiments rappellent l'époque impériale à Moscou ?,Le quartier de l'ancien Arbat et les ruelles de la rue Tverskaïa,Les gratte-ciels de la période stalinienne.
137,openai:gpt-4o-mini,Quels bâtiments rappellent l'époque impériale à Moscou ?,palais,Les bâtiments de style stalinien.
138,openai:gpt-4o-mini,Quels sentiment ont éprouvé les constructeurs de l'hôtel Moskva après la signature du projet par Staline ?,crainte,Fierté.
139,openai:gpt-4o-mini,Quels sentiment ont éprouvé les constructeurs de l'hôtel Moskva après la signature du projet par Staline ?,crainte,Fierté.
140,openai:gpt-4o-mini,Quels sentiment ont éprouvé les constructeurs de l'hôtel Moskva après la signature du projet par Staline ?,crainte,Fierté.
141,openai:gpt-4o-mini,Combien de propositions a reçu Staline pour l'architecture de l'hôtel Moskva ?,deux projets différents,130.
142,openai:gpt-4o-mini,Combien de propositions a reçu Staline pour l'architecture de l'hôtel Moskva ?,deux,Sixty.
143,openai:gpt-4o-mini,Quels bâtiments hauts ont été construits sous l'époque communiste ?,gratte-ciel staliniens,Les gratte-ciels.
144,openai:gpt-4o-mini,Quelle forme a la façade de l'hôtel Moskva ?,asymétrique,Rectangulaire.
145,openai:gpt-4o-mini,A quel endroit la façade de l'hôtel Moskva a particulièrement été modifiée ?,sur la place des Théâtres,À l'étage supérieur.
146,openai:gpt-4o-mini,Quel est la forme géométrique de la tour Choukhov ?,hyperboloïdes,Hyperboloïde
147,openai:gpt-4o-mini,Quel mouvement artistique et architectural s'applique au nouvelles construction de Choukhov ?,constructiviste,Constructivisme.
148,openai:gpt-4o-mini,Quel mouvement artistique et architectural s'applique au nouvelles construction de Choukhov ?,constructiviste,Constructivisme.
149,openai:gpt-4o-mini,Quels types de construction d'habitation est apparue à l'époque soviétique ?,ensembles résidentiels collectifs,Khrushchyovkas.
150,openai:gpt-4o-mini,Quels types de construction d'habitation est apparue à l'époque soviétique ?,ensembles résidentiels collectifs,Khroutchevka.
151,openai:gpt-4o-mini,Quelle forme prennent les commerces construits par Choukhov ?,galeries,Des structures en métal.
152,openai:gpt-4o-mini,Quel est le métier de Vladimir Choukhov ?,architecte,Ingénieur.
153,openai:gpt-4o-mini,Quel est le métier de Vladimir Choukhov ?,architecte,Ingénieur.
154,openai:gpt-4o-mini,Quels édifices religieux sont très présents dans la ville ?,églises orthodoxes,Églises.
155,openai:gpt-4o-mini,Quels édifices religieux sont très présents dans la ville ?,nombreuses églises orthodoxes,Églises.
156,openai:gpt-4o-mini,Quels édifices religieux sont très présents dans la ville ?,églises orthodoxes,Églises.
157,openai:gpt-4o-mini,A quelle période la ville connaît des changements architecturaux majeurs ?,époque soviétique,Au Moyen Âge.
158,openai:gpt-4o-mini,A quelle période la ville connaît des changements architecturaux majeurs ?,époque soviétique,Au XXe siècle.
159,openai:gpt-4o-mini,Quels bâtiments détruits sous l'époque soviétiques ont été refaits au début du 20ème siècle ?,deux cathédrales,Églises.
160,openai:gpt-4o-mini,Quels bâtiments détruits sous l'époque soviétiques ont été refaits au début du 20ème siècle ?,la cathédrale de Kazan et la cathédrale du Christ-Sauveur,L'Hôtel de Ville de Varsovie.
161,openai:gpt-4o-mini,Quel chef soviétique décide de lancer une politique de changement de la ville ?,Joseph Staline,Khrushchev.
162,openai:gpt-4o-mini,Quel chef soviétique décide de lancer une politique de changement de la ville ?,Joseph Staline,Khroutchev.
163,openai:gpt-4o-mini,Quel chef soviétique décide de lancer une politique de changement de la ville ?,Joseph Staline,Khroutchov.
164,openai:gpt-4o-mini,Combien de voies contenaient les avenues construites par Staline ?,jusqu'à dix voies,Cinq.
165,openai:gpt-4o-mini,Combien de voies contenaient les avenues construites par Staline ?,dix,Cinq voies.
166,openai:gpt-4o-mini,Quel groupe social est considéré comme être la cible idéal pour le ballet Parade ?,élite,Les jeunes.
167,openai:gpt-4o-mini,Quel est le sentiment éprouvé par quelqu'un qui manifeste une joie intense ?,allégresse,Euphorie.
168,openai:gpt-4o-mini,A quoi doivent se comparer ou s'associer les références artistiques du surréalisme ?,progrès scientifiques et industriels,Au rêve.
169,openai:gpt-4o-mini,Par quels objets Picasso montre que son oeuvre est réaliste ?,Les décors et les costumes cubistes,Par des objets quotidiens.
170,openai:gpt-4o-mini,Par quels objets Picasso montre que son oeuvre est réaliste ?,Les décors et les costumes,Par des visages et des corps humains.
171,openai:gpt-4o-mini,Comment est qualifié Parade par Jean Cocteau ?,ballet réaliste,"Un ""déjeuner de tête""."
172,openai:gpt-4o-mini,Quel objet a été produit par Apollinaire pour révéler le concept de surréalisme ?,plaquette de présentation,Le caligramme.
173,openai:gpt-4o-mini,Quelle est la nature de l'oeuvre Parade ?,ballet,Ballet.
174,openai:gpt-4o-mini,De quel mouvement artistique est issu Léonide Massine ?,cubistes,Le ballet moderne.
175,openai:gpt-4o-mini,De quel mouvement artistique est issu Léonide Massine ?,cubistes,Le ballet russe.
176,openai:gpt-4o-mini,Qu'a produit Pablo Picasso pour Cocteau ?,décor,Un décor.
177,openai:gpt-4o-mini,Qui passe commande à Apollinaire pour réaliser une plaquette pour son ballet ?,Serge Diaghilev,Diaghilev.
178,openai:gpt-4o-mini,Qui passe commande à Apollinaire pour réaliser une plaquette pour son ballet ?,Serge Diaghilev,Diaghilev.
179,openai:gpt-4o-mini,Quel concept est considéré comme être dépassé par le surréalisme ?,la face cachée des choses,Rationalisme.
180,openai:gpt-4o-mini,Quel concept est considéré comme être dépassé par le surréalisme ?,surnaturalisme,Le rationalisme.
181,openai:gpt-4o-mini,Sous quelle forme Apollinaire a-t-il envoyé des correspondances à Paul Dermée ?,une lettre,Sous forme de calligrammes.
182,openai:gpt-4o-mini,Dans quel objet retrouve-t-on des mots et leur définition ?,dictionnaires,Dictionnaire.
183,openai:gpt-4o-mini,Quel est le titre de l'oeuvre théatrale écrite par Apollinaire ?,"Les Mamelles de Tirésias, « drame surréaliste",Les Mamelles de Tirésias.
184,openai:gpt-4o-mini,Que voulait incarner Arthur Rimbaud dans son rapport au surréalisme ?,"se mettre en état de percevoir la face cachée des choses, une autre réalité",La modernité.
185,openai:gpt-4o-mini,Que voulait incarner Arthur Rimbaud dans son rapport au surréalisme ?,un visionnaire,La révolte.
186,openai:gpt-4o-mini,Que voulait incarner Arthur Rimbaud dans son rapport au surréalisme ?,être un visionnaire,La liberté.
187,openai:gpt-4o-mini,De quel mouvement politique la majorité des surréalistes se  rapprochent ?,Parti communiste français,Communisme.
188,openai:gpt-4o-mini,De quel mouvement politique la majorité des surréalistes se  rapprochent ?,Parti communiste français,Communisme.
189,openai:gpt-4o-mini,Quels métiers exercent les accolytes surréalistes de Breton ?,"écrivains, poètes, peintres, artistes","Écrivains, peintres, sculpteurs."
190,openai:gpt-4o-mini,Quels métiers exercent les accolytes surréalistes de Breton ?,"écrivains, poètes, peintres, artistes",Artistes.
191,openai:gpt-4o-mini,Quels métiers exercent les accolytes surréalistes de Breton ?,"écrivains, poètes, peintres","Peintres, écrivains, poètes."
192,openai:gpt-4o-mini,Dans quel document sont inscrits pour la première fois les fondements du mouvement surréaliste ?,le premier Manifeste,Manifeste surréaliste.
193,openai:gpt-4o-mini,Dans quel document sont inscrits pour la première fois les fondements du mouvement surréaliste ?,le premier Manifeste,Le Manifeste surréaliste.
194,openai:gpt-4o-mini,Pourquoi André Breton n'a pas pu beaucoup participé aux activité s du Parti communiste français ?,Il en est exclu,À cause de désaccords idéologiques.
195,openai:gpt-4o-mini,Qui est considéré comme avoir été un des premiers surréalistes avec André Breton ?,Benjamin Péret,Louis Aragon.
196,openai:gpt-4o-mini,Quels sont les trois pays particulièrement impliqués dans le mouvement surréaliste ?,"Royaume-Uni, États-Unis, Tchécoslovaquie","France, Belgique, Espagne."
197,openai:gpt-4o-mini,Quel événement historique a eu lieu avant la résurection d'un groupe de surréalistes tchécoslovaques ?,Printemps de Prague,La Deuxième Guerre mondiale.
198,openai:gpt-4o-mini,Quel événement historique a eu lieu avant la résurection d'un groupe de surréalistes tchécoslovaques ?,Printemps de Prague,La Deuxième Guerre mondiale.
199,openai:gpt-4o-mini,Comment qualifie-t-on un régime politique qui n'accepte aucune opposition ?,totalitaire,Totalitaire.
200,openai:gpt-4o-mini,Comment s'appelle le phénomène qui consiste à interdire toute production intellectuelle indépendante du pouvoir ou des idées en place ?,censurant,Censure.
201,openai:gpt-4o-mini,"Après 1969, comment les surréalistes ont-ils réagi ?",ont continué leurs activités de façon ininterrompue,Ils ont continué à développer leur mouvement.
202,openai:gpt-4o-mini,Quelle activité est particulièrement impactée négativement par la pollution des eaux ?,production de riz,La pêche.
203,openai:gpt-4o-mini,Quelle activité est particulièrement impactée négativement par la pollution des eaux ?,production de riz,La pêche.
204,openai:gpt-4o-mini,Quelle activité est particulièrement impactée négativement par la pollution des eaux ?,production de riz,La pêche.
205,openai:gpt-4o-mini,Quel métal est présent dans l'eau et pollue également les rizières en Chine ?,cadmium,Arsenic.
206,openai:gpt-4o-mini,Quel métal est présent dans l'eau et pollue également les rizières en Chine ?,cadmium,Arsenic.
207,openai:gpt-4o-mini,Quel métal est présent dans l'eau et pollue également les rizières en Chine ?,cadmium,Arsenic.
208,openai:gpt-4o-mini,Comment caractérise-t-on une terre qui peut-être cultivée ?,arable,Terre arable.
209,openai:gpt-4o-mini,Pour quelle autre raison que les catastrophes naturelles de moins en moins de terres peuvent-elles être cultivées ?,construction immobilière,L'urbanisation.
210,openai:gpt-4o-mini,Quelle proportion de chinois n'a pas accès à l'eau potable ?,un quart,360 millions.
